Quel est l'intitulé officiel du règlement (UE) 2023/2854 ?,Le règlement sur les données (Data Act).
Quels types de coûts sont inclus dans le calcul de la compensation raisonnable ?,"Les coûts de formatage, de diffusion électronique et de stockage."
Où les parties peuvent-elles porter leurs litiges concernant les conditions FRAND ?,Devant un organe de règlement des litiges certifié.
Sous quelle condition la décision d'un organe de règlement des litiges est-elle contraignante ?,Si les parties ont expressément consenti à son caractère contraignant avant le début de la procédure.
Un détenteur peut utiliser le _____ ou des contrats intelligents pour empêcher l'accès non autorisé aux données.,Chiffrement
Que doit faire un tiers s'il a fourni de fausses informations pour obtenir des données ?,"Il doit effacer les données et les copies, et peut être tenu d'indemniser la partie lésée."
Dans quel contexte une clause contractuelle entre entreprises est-elle considérée comme non contraignante ?,Lorsqu'elle est imposée unilatéralement et qu'elle est abusive.
Quel est le critère général pour définir une clause comme 'abusive' entre entreprises ?,"Si elle s'écarte manifestement des bonnes pratiques commerciales, contrairement à la bonne foi."
Citez un exemple de clause contractuelle 'toujours' considérée comme abusive.,L'exclusion de la responsabilité en cas d'actes intentionnels ou de négligence grave.
Une clause permettant à une partie de modifier substantiellement le prix sans motif valable est _____ être abusive.,Présumée
Vrai ou Faux : Une clause négociée puis modifiée par les deux parties peut être contestée comme abusive selon l'article 13.,"Faux, elle ne doit pas avoir été imposée unilatéralement."
À qui incombe la preuve qu'une clause n'a pas été imposée unilatéralement ?,À la partie qui a fourni la clause.
Dans quelle situation un organisme du secteur public peut-il exiger l'accès à des données privées ?,S'il démontre l'existence d'un besoin exceptionnel pour une mission d'intérêt public.
Quel type de situation constitue un 'besoin exceptionnel' prioritaire ?,"La réaction à une situation d'urgence (catastrophe naturelle, urgence sanitaire, etc.)."
"En dehors des urgences, pour quelle mission spécifique le secteur public peut-il demander des données non personnelles ?",La production de statistiques officielles.
Quelles entreprises sont exemptées de fournir des données au secteur public en dehors des situations d'urgence ?,Les microentreprises et les petites entreprises.
Que doit démontrer un organisme public avant de demander des données hors urgence ?,"Qu'il a épuisé tous les autres moyens, y compris l'achat de données sur le marché."
Une demande de données par le secteur public doit être formulée par _____ et être spécifique.,Écrit
Vrai ou Faux : Les données obtenues par le secteur public en cas de besoin exceptionnel peuvent être réutilisées par des tiers.,"Faux, elles ne sont pas considérées comme des données ouvertes."
Quel est le délai maximal pour qu'un détenteur rejette une demande liée à une urgence ?,Cinq jours ouvrables.
Quel est le délai de réponse pour une demande de données du secteur public hors situation d'urgence ?,Trente jours ouvrables.
Le détenteur doit privilégier l'_____ des données personnelles avant de les transmettre au secteur public.,Anonymisation
Quelle est la règle de compensation pour les données fournies lors d'une urgence ?,La mise à disposition est gratuite (sauf pour les micro et petites entreprises).
De quoi se compose la 'juste compensation' pour les demandes du secteur public hors urgence ?,Des coûts techniques et organisationnels plus une marge raisonnable.
Avec quels types d'entités le secteur public peut-il partager les données reçues pour recherche ?,Des organismes de recherche ou des instituts de statistique agissant sans but lucratif.
Combien de temps les chercheurs peuvent-ils conserver les données après leur effacement par l'organisme public ?,Six mois maximum.
Quel est l'objectif du chapitre VI du règlement ?,Faciliter le changement de fournisseur de services de traitement de données (cloud/edge).
Définition : Service de traitement de données,Service numérique permettant un accès réseau à la demande à un ensemble partagé de ressources informatiques.
Qu'est-ce que l'équivalence fonctionnelle lors d'un changement de cloud ?,Le maintien d'un niveau minimal de fonctionnalité entre l'ancien et le nouveau service.
Les frais de transfert de données lors d'un changement de fournisseur de cloud doivent être _____ après trois ans.,Supprimés
Que sont les 'données exportables' dans le contexte du changement de cloud ?,"Les données d'entrée et de sortie, y compris les métadonnées, générées par l'utilisation du service par le client."
Quel est le rôle du 'coordinateur de données' ?,Agir comme point de contact unique et faciliter la coopération entre autorités compétentes d'un État membre.
Quelle instance conseille la Commission sur les normes techniques et l'interopérabilité ?,Le comité européen de l'innovation dans le domaine des données.
Définition : Contrat intelligent (Smart Contract),Programme informatique utilisé pour l'exécution automatique d'un accord garantissant l'intégrité des données.
Quelle exigence essentielle s'applique aux contrats intelligents concernant leur arrêt ?,Ils doivent pouvoir être interrompus et résiliés par un mécanisme de contrôle (kill switch).
Quel droit de propriété intellectuelle est clarifié comme ne s'appliquant pas aux bases de données issues de capteurs ?,Le droit 'sui generis' prévu par la directive 96/9/CE.
"Les sanctions en cas d'infraction au règlement doivent être effectives, proportionnées et _____.",Dissuasives
